run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train55_live1005,concurrency,dqn,1005,28.5,8.0,26.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,29.0,8.0,26.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,29.5,8.0,27.0
concurrency_dqn_train55_live1005,concurrency,dqn,1005,30.0,8.0,28.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,0.0,1.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,0.5,1.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,1.0,1.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,1.5,2.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,2.0,3.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,2.5,3.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,3.0,4.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,3.5,4.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,4.0,5.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,4.5,6.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,5.0,6.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,5.5,7.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,6.0,7.0,0.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,6.5,7.0,1.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,7.0,7.0,1.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,7.5,7.0,2.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,8.0,7.0,2.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,8.5,7.0,3.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,9.0,7.0,4.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,9.5,7.0,4.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,10.0,7.0,5.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,10.5,7.0,5.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,11.0,7.0,6.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,11.5,7.0,7.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,12.0,7.0,7.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,12.5,7.0,8.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,13.0,7.0,8.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,13.5,7.0,9.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,14.0,7.0,9.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,14.5,7.0,10.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,15.0,7.0,10.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,15.5,7.0,11.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,16.0,7.0,11.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,16.5,7.0,12.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,17.0,7.0,13.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,17.5,7.0,13.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,18.0,7.0,14.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,18.5,7.0,14.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,19.0,7.0,15.0
concurrency_ppo_train11_live1001,concurrency,ppo,1001,19.5,7.0,16.0
